Lifetime Movie Favorites | source=vizio | res=2160 | https://5ee29b66.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/Vml6aW9fSG9saWRheU1vdmllRmF2b3JpdGVzYnlMaWZldGltZV9ITFM/playlist.m3u8?ads.wurl_channel=999&ads.wurl_name=HolidayMovieFavoritesbyLifetime&ads.coppa=0&ads.psid=%7bADID%7d&ads.targetopt=%7bTARGETOPT%7d&ads.us_privacy=%7bUSPRIVACY%7d&ads.ifa_type=%7bIFATYPE%7d&ads.lmt=%7bLMT%7d&ads.app_bundle=%7bAPP_BUNDLE%7d&ads.app_name=%7bAPP_NAME%7d&ads.app_store_url=%7bAPP_STORE_URL%7d&ads.url=%7bDOMAIN%7d&ads.w=%7bWIDTH%7d&ads.h=%7bHEIGHT%7d&ads.device_make=%7bDEVICE_MAKE%7d&ads.vizdartoken=eyJhdWQiOiI5OCIsIndmcGNpZCI6MzQ1NjY3OTAzMn0
AMC Reality (1080p) | source=iptv_org | res=1080 | https://c9672376.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/U2Ftc3VuZy1nYl9BTUNSZWFsaXR5X0hMUw/playlist.m3u8
America’s Funniest Home Videos (1080p) | source=iptv_org | res=1080 | https://d1mp1kdk5zi1ie.cloudfront.net/playlist.m3u8
American Idol (1080p) | source=iptv_org | res=1080 | https://d2yn8dyffvmgy.cloudfront.net/AmericanIdol_GB.m3u8
Arryadia HD TNT (1080p) | source=iptv_org | res=1080 | https://stream-lb.livemediama.com/arryadia-tnt/hls/master.m3u8
Asharq Discovery (1080p) | source=iptv_org | res=1080 | https://svs.itworkscdn.net/asharqdiscoverylive/asharqd.smil/playlist_dvr.m3u8
BeJoy.kids (1080p) | source=iptv_org | res=1080 | https://64b16f23efbee.streamlock.net/bejoy/bejoy/playlist.m3u8
Biznet Kids (1080p) | source=iptv_org | res=1080 | http://livestream.biznetvideo.net/biznet_kids/smil:kids.smil/index.m3u8
Bravo! Kids TV (1080p) | source=iptv_org | res=1080 | https://streaming.social3.hr/play/r3CK_tdsFIFL3bN7w4NW1plrwsCToUBsRFjhxM68sZY/m3u8
BRIDGE Deluxe (1080p) | source=iptv_org | res=1080 | http://31.148.48.15/Bridge_TV_HD/index.m3u8
Comedy Central (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_COMEDY_CENTRAL/index.m3u8
Comedy Central Latin America (1080p) | source=iptv_org | res=1080 | http://181.119.93.83:8000/play/a1di/index.m3u8
Dazn Ringside (1080p) | source=iptv_org | res=1080 | https://aegis-cloudfront-1.tubi.video/bfad29e2-5bee-44f3-8256-127324e8b106/playlist.m3u8
Don't Tell The Bride (1080p) | source=iptv_org | res=1080 | https://amg00426-lds-amg00426c15-samsung-au-3684.playouts.now.amagi.tv/playlist.m3u8
Encore+ (1080p) | source=iptv_org | res=1080 | https://streams2.sofast.tv/sofastplayout/11d7f7fd-9c12-4c8a-b1a8-e879821e2187_1000014907_HLS/master.m3u8
Equidia (1080p) | source=iptv_org | res=1080 | https://raw.githubusercontent.com/Paradise-91/ParaTV/main/streams/equidia/live2.m3u8
Equidia Racing Mag (1080p) | source=iptv_org | res=1080 | https://raw.githubusercontent.com/Paradise-91/ParaTV/main/streams/equidia/racingmag.m3u8
Estilo y Vida (1080p) | source=iptv_org | res=1080 | https://4a7284f0c8334835adb8f223c36fbc37.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6232/master.m3u8
Evidence of Evil (1080p) | source=iptv_org | res=1080 | https://9e7adb64.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/U2Ftc3VuZy1nYl9FdmlkZW5jZW9mRXZpbF9ITFM/playlist.m3u8
FX (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_FX/index.m3u8
FXX (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_FXX/index.m3u8
Hallmark Channel (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_HALLMARK/index.m3u8
Hallmark Movies & More (1080p) | source=iptv_org | res=1080 | https://dbrb49pjoymg4.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-ams-aws/master.m3u8?ads.xumo_channelId=99991709
HappyKids (1080p) | source=iptv_org | res=1080 | https://dil9xdvretp0f.cloudfront.net/index.m3u8
HGTV (1080p) | source=iptv_org | res=1080 | https://i.mjh.nz/.r/sky-hgtv.m3u8
Hidabroot (1080p) | source=iptv_org | res=1080 | https://cdn.cybercdn.live/HidabrootIL/Live97/playlist.m3u8
Homicide la chaîne du fait divers (1080p) | source=iptv_org | res=1080 | https://rakutenaa-fastmedia-homicide-rakuten-pw6g3.amagi.tv/playlist/rakutenAA-fastmedia-homicide-rakuten/playlist.m3u8
Ideas en 5 minutos (1080p) | source=iptv_org | res=1080 | https://soul-5mincraftspa-rakuten.amagi.tv/playlist.m3u8
Inside Crime (1080p) | source=iptv_org | res=1080 | https://aenetworks-insidecrime-rakuten.amagi.tv/playlist.m3u8
Kiddo+ (1080p) | source=iptv_org | res=1080 | https://streams2.sofast.tv/sofastplayout/8258122f-b4c0-416b-a2db-8407847f0c3c_1000015692_HLS/master.m3u8
Kidoodle.TV (1080p) | source=iptv_org | res=1080 | https://amg07653-apmc-amg07653c9-samsung-us-8740.playouts.now.amagi.tv/playlist.m3u8
Kids Pang TV (1080p) | source=iptv_org | res=1080 | https://newidco-kidspangtv-1-us.roku.wurl.tv/playlist.m3u8
Kids Street (1080p) | source=iptv_org | res=1080 | http://181.78.121.15:8000/play/a00a/index.m3u8
Kids TV (1080p) | source=iptv_org | res=1080 | http://de.russkoe-iptv.com:88/s/s-e3dc39e0/kids-tv-hd.m3u8
Kuriakos Kids (1080p) | source=iptv_org | res=1080 | https://w2.manasat.com/kkids/smil:kkids.smil/playlist.m3u8
L1 Max (1080p) | source=iptv_org | res=1080 | http://45.4.1.201:8000/play/a123/index.m3u8
Las Vegas Tonight with Dale Davidson (1080p) | source=iptv_org | res=1080 | https://cdn.vegasplus.us/vegas/lasvegastonight/playlist.m3u8
Le Figaro IDF (1080p) | source=iptv_org | res=1080 | https://figarotv-live.freecaster.com/live/freecaster/figarotv.m3u8
Leomax 24 (1080p) | source=iptv_org | res=1080 | https://tvshops.bonus-tv.ru/cdn/shop24/playlist.m3u8
Lifetime Holiday Favourites (1080p) | source=iptv_org | res=1080 | https://9fa8bd65.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/Um9rdV9Ib2xpZGF5TW92aWVGYXZvcml0ZXNieUxpZmV0aW1lX0hMUw/playlist.m3u8
Lifetime Latin America (1080p) | source=iptv_org | res=1080 | http://138.121.15.230:9002/LIFETIME/index.m3u8
Lifetime Movies (1080p) | source=iptv_org | res=1080 | https://amg00276-amg00276c21-samsung-gb-5270.playouts.now.amagi.tv/playlist.m3u8
Lifetime Movies (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_LMN/index.m3u8
Lifetime Movies Love & Drama (1080p) | source=iptv_org | res=1080 | https://d1s7megtamek6r.cloudfront.net/Lifetime_Love_and_Drama.m3u8
LooLoo Kids (1080p) | source=iptv_org | res=1080 | https://amg02757-amg02757c5-samsung-gb-5765.playouts.now.amagi.tv/playlist/amg02757-loolookids-llkenfast-samsunggb/playlist.m3u8
LooLoo Kids TV (1080p) | source=iptv_org | res=1080 | https://amg02757-amg02757c3-rakuten-de-6135.playouts.now.amagi.tv/playlist/amg02757-loolookids-llkdefast-rakutende/playlist.m3u8
Mahaa Max (1080p) | source=iptv_org | res=1080 | https://d8wpu6ewxtzy0.cloudfront.net/mahaamaxx/index.m3u8
Majid Al Mohandis (1080p) | source=iptv_org | res=1080 | https://shd-amg-fast.edgenextcdn.net/tx019/playlist.m3u8
MAX Anime (1080p) | source=iptv_org | res=1080 | https://cdnlive.klicgo.net/maxanime/live/playlist.m3u8
Max Movies (1080p) | source=iptv_org | res=1080 | https://live.maxtn.in/maxmovies/maxmovies/index.m3u8
Max Music (1080p) | source=iptv_org | res=1080 | https://live.maxtn.in/maxmusic/maxmusic/index.m3u8
Max TV (1080p) | source=iptv_org | res=1080 | https://streamer2.nexgen.bz/14-MAX/index.m3u8
MaxTV/Dieu TV (1080p) | source=iptv_org | res=1080 | https://cdn.katapy.io/cache/stream/katapytv/dieu/playlist.m3u8
Midnight Pulp (1080p) | source=iptv_org | res=1080 | https://linear-897.frequency.stream/dist/cineverse/897/hls/master/playlist.m3u8
Midsomer Murders (1080p) | source=iptv_org | res=1080 | https://all3media-midsomer-1-us.roku.wurl.tv/playlist.m3u8
Moonbug Kids (1080p) | source=iptv_org | res=1080 | https://moonbug-rokuus.amagi.tv/playlist.m3u8
NBC 10 Providence MA (1080p) | source=iptv_org | res=1080 | https://pubads.g.doubleclick.net/ssai/event/kpannrCBQ5KwdV3Hag3Wog/master.m3u8
NBCU Telemundo Florida (1080p) | source=iptv_org | res=1080 | https://nbcu-telemundoflorida-firetv.amagi.tv/playlist.m3u8
Newsmax 2 (1080p) | source=iptv_org | res=1080 | https://amg00217-newsmax-newsmax-zeasn-022k9.amagi.tv/playlist.m3u8
Nickelodeon (1080p) | source=iptv_org | res=1080 | http://151.80.18.177:86/Nickelodeon_FR/index.m3u8
Nickelodeon (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_NICKELODEON/index.m3u8
Nickelodeon Junior (1080p) | source=iptv_org | res=1080 | http://151.80.18.177:86/Nickelodeon_Junior/index.m3u8
Nickelodeon Latin America (1080p) | source=iptv_org | res=1080 | http://179.60.51.134:8888/NICK/index.m3u8
Nidae AlIslam Radio (1080p) | source=iptv_org | res=1080 | https://aloula-redirect.vercel.app/14/playlist.m3u8
Niederbayern TV Landshut (1080p) | source=iptv_org | res=1080 | https://stream03.welocal.stream/stream/fhd-nbylandshut_75262/ngrp:stream_all/index.m3u8
Pac 12 Insider (1080p) | source=iptv_org | res=1080 | https://pac12-firetv.amagi.tv/playlist.m3u8
PBS Kids Alaska (1080p) | source=iptv_org | res=1080 | https://livestream.pbskids.org/out/v1/94b88ad58fc14f84a9382341f1c00b82/akst.m3u8
PBS Kids Mountain (1080p) | source=iptv_org | res=1080 | https://livestream.pbskids.org/out/v1/3fe3030a2c8045a3932f4289d9eba3e6/mst.m3u8
PBS Kids Pacific (1080p) | source=iptv_org | res=1080 | https://livestream.pbskids.org/out/v1/11f2e6b73eaa4887b3746cb863960e79/pst.m3u8
PRIDEtv LATAM (1080p) | source=iptv_org | res=1080 | https://backend.energeek.cl/webtv/pridetvweb/index.m3u8?token=ZZDemoIPTVGH
Prva Max (1080p) | source=iptv_org | res=1080 | https://de1.dstv.cx/PrvaMax/index.m3u8
Rabbids Invasion (1080p) | source=iptv_org | res=1080 | https://dikkyk1ckkhzq.cloudfront.net/RabiddsInvasion_GB.m3u8
Rashid AlMajed (1080p) | source=iptv_org | res=1080 | https://dphwv2ufgnfsq.cloudfront.net/out/v1/59cd80dfe93a479eb8b4d79bc6f225ca/index.m3u8
Roya Kids Originals (1080p) | source=iptv_org | res=1080 | https://playlist.fasttvcdn.com/pl/ptllxjd03j6g9oxxjdfapg/roya-kids-originals/playlist.m3u8
RTV Vida (1080p) | source=iptv_org | res=1080 | https://vidartv2.todostreaming.es/live/radiovida-emisiontvhd.m3u8
Sat 7 Kids (1080p) | source=iptv_org | res=1080 | https://svs.itworkscdn.net/sat7kidslive/sat7kids.smil/playlist_dvr.m3u8
Showtime (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_SHOWTIME/index.m3u8
Starz (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_STARZ/index.m3u8
Starz Comedy (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_STARZ_COMEDY/index.m3u8
Starz Kids & Family (1080p) | source=iptv_org | res=1080 | http://23.237.104.106:8080/USA_STARZ_FAMILY/index.m3u8
Stingray Holidayscapes (1080p) | source=iptv_org | res=1080 | https://d10cyxntpn0bwm.cloudfront.net/master.m3u8
Stingray Holidayscapes (1080p) | source=iptv_org | res=1080 | https://plextv.ott-channels.stingray.com/holidayscapes/master.m3u8
STS kids (1080p) | source=iptv_org | res=1080 | http://de.russkoe-iptv.com:88/s/s-e3dc39e0/ctc-kids-hd.m3u8
Team Liquid (1080p) | source=iptv_org | res=1080 | https://d3qzt5cx2j8lfl.cloudfront.net/playlist.m3u8
Telemax (XEWH-TDT) (1080p) | source=iptv_org | res=1080 | https://s5.mexside.net:1936/telemax/telemax/playlist.m3u8
Telemundo Noticias Florida (1080p) | source=iptv_org | res=1080 | https://amg00884-nbcuniversal-nbctelemundoflorida-xumo-atn0m.amagi.tv/playlist.m3u8
Televida (1080p) | source=iptv_org | res=1080 | https://tls-cl.cdnz.cl/televida/live/playlist.m3u8
Test My Ride (1080p) | source=iptv_org | res=1080 | https://streams2.sofast.tv/sofastplayout/WiseM3U8_21/master.m3u8
Tide TV (1080p) | source=iptv_org | res=1080 | https://5889e7d0d6e28.streamlock.net/tide-live/_definst_/smil:livestream.smil/playlist.m3u8
TidPix-Authentically African (1080p) | source=iptv_org | res=1080 | https://stream.ads.ottera.tv/playlist.m3u8?content_livestream=1&network_id=11083
TNTV (1080p) | source=iptv_org | res=1080 | https://tntv-samsung-fr.amagi.tv/playlist.m3u8
Unidentified (1080p) | source=iptv_org | res=1080 | https://d3ify425qsio2d.cloudfront.net/playlist.m3u8
USA Network Latin America (1080p) | source=iptv_org | res=1080 | http://138.121.15.230:9002/USA/index.m3u8
Video Game Heroes (1080p) | source=iptv_org | res=1080 | https://amg01076-amg01076c16-samsung-gb-4793.playouts.now.amagi.tv/playlist/amg01076-lightning-kcvideogameseng-samsunggb/playlist.m3u8
Video Rola (1080p) | source=iptv_org | res=1080 | https://d3b2epqdk0p7vd.cloudfront.net/out/v1/8a448b5e16384af4a3c8146a7b049c32/index.m3u8
WFXT-DT2 (1080p) | source=iptv_org | res=1080 | https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-ionmystery-tablo/playlist.m3u8
Mister Rogers' Neighborhood | source=pluto | res=540 | https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/v2/stitch/hls/channel/65e23f340d4561000821540d/master.m3u8?jwt=eyJhbGciOiJIUzI1NiIsImtpZCI6IjNhMGMxYjk1LTFiMjQtNDA3Yy1hYTZjLTkwNmFiYWZiNWZkNyIsInR5cCI6IkpXVCJ9.eyJzZXNzaW9uSUQiOiIzNmQyOWRhMi03NTM0LTExZjEtOGM3Ny03ZWU1YzA3OTdkMzIiLCJjbGllbnRJUCI6IjE4NS4yMzYuMjAwLjE3MiIsImNpdHkiOiJMb3MgQW5nZWxlcyIsInBvc3RhbENvZGUiOiI5MDAxMSIsImNvdW50cnkiOiJVUyIsImRtYSI6ODAzLCJhY3RpdmVSZWdpb24iOiJVUyIsImRldmljZUxhdCI6MzQuMDA5OTk4MzIxNTMzMiwiZGV2aWNlTG9uIjotMTE4LjI2MDAwMjEzNjIzMDQ3LCJwcmVmZXJyZWRMYW5ndWFnZSI6Iml0IiwiZGV2aWNlVHlwZSI6IndlYiIsImRldmljZVZlcnNpb24iOiIxMjIuMC4wIiwiZGV2aWNlTWFrZSI6ImNocm9tZSIsImRldmljZU1vZGVsIjoid2ViIiwiYXBwTmFtZSI6IndlYiIsImFwcFZlcnNpb24iOiI4LjAuMC0xMTFiMmI5ZGMwMGJkMGJlYTkwMzBiMzA2NjIxNTllZDllN2M4YmM2IiwiY2xpZW50SUQiOiJjMDdiYmMzMi1kZjdkLTQ2ZjItODFlNC03ODg3ZmQ3NjVhNDIiLCJjbUF1ZGllbmNlSUQiOiIiLCJpc0NsaWVudEROVCI6ZmFsc2UsInVzZXJJRCI6IiIsImxvZ0xldmVsIjoiREVGQVVMVCIsInRpbWVab25lIjoiQW1lcmljYS9Mb3NfQW5nZWxlcyIsInNlcnZlclNpZGVBZHMiOmZhbHNlLCJlMmVCZWFjb25zIjpmYWxzZSwiZmVhdHVyZXMiOnsiYWRMb2FkIjp7ImNvaG9ydCI6IiJ9LCJtdWx0aUF1ZGlvIjp7ImVuYWJsZWQiOnRydWV9LCJtdWx0aVBvZEFkcyI6eyJjb2hvcnQiOiIiLCJlbmFibGVkIjp0cnVlfSwic2VhcmNoQVBJIjp7InF1ZXJ5VmVyc2lvbiI6Imh5YnJpZCJ9LCJzdGl0Y2hlckhsc05nIjp7ImRlbXV4ZWRBdWRpbyI6ImppdCJ9fSwiZm1zUGFyYW1zIjp7ImZ3VmNJRDIiOiJjMDdiYmMzMi1kZjdkLTQ2ZjItODFlNC03ODg3ZmQ3NjVhNDIiLCJmd1ZjSUQyQ29wcGEiOiJjMDdiYmMzMi1kZjdkLTQ2ZjItODFlNC03ODg3ZmQ3NjVhNDIiLCJjdXN0b21QYXJhbXMiOnsiZm1zX2xpdmVyYW1wX2lkbCI6IiIsImZtc19lbWFpbGhhc2giOiIiLCJmbXNfc3Vic2NyaWJlcmlkIjoiIiwiZm1zX2lmYSI6IiIsImZtc19pZGZ2IjoiIiwiZm1zX3VzZXJpZCI6ImMwN2JiYzMyLWRmN2QtNDZmMi04MWU0LTc4ODdmZDc2NWE0MiIsImZtc192Y2lkMnR5cGUiOiJ1c2VyaWQiLCJmbXNfcmFtcF9pZCI6IiIsImZtc19oaF9yYW1wX2lkIjoiIiwiZm1zX2JpZGlkdHlwZSI6IiIsIl9md18zUF9VSUQiOiIiLCJmbXNfcnVsZWlkIjoiMTAwMDAsMTAwMDkifX0sImRybSI6eyJuYW1lIjoid2lkZXZpbmUiLCJsZXZlbCI6IkwzIn0sInNlc3Npb25TdGFydFRpbWUiOjE3ODI5MDAyNTQzNzEsImlzcyI6ImJvb3QucGx1dG8udHYiLCJzdWIiOiJwcmk6djE6cGx1dG86ZGV2aWNlczpVUzpZekEzWW1Kak16SXRaR1kzWkMwME5tWXlMVGd4WlRRdE56ZzROMlprTnpZMVlUUXkiLCJhdWQiOiIqLnBsdXRvLnR2IiwiZXhwIjoxNzgyOTg2NjU0LCJpYXQiOjE3ODI5MDAyNTQsImp0aSI6ImJiNTFlOWY0LTA1NjQtNDJiOS1iYWRjLWIzYjZhYTFkYTZiOCJ9.vCLYQ85olheTRqbY5fcOrj-VDiETQl0WDMoagBIVd0c&masterJWTPassthrough=true
Lifetime Movie Favorites | source=plex | res=576 | https://epg.provider.plex.tv/library/parts/6a1610bebdf296985fd95603-63c1e47ef0f132afc3afbab2/?X-Plex-Token=TiLWtZpHs-EjwPJMrqKW
Historia Y Vida | source=plex | res=576 | https://epg.provider.plex.tv/library/parts/643054b1fc3be59477853717-671ff7a5769d5ec4bf51d63a/?X-Plex-Token=TiLWtZpHs-EjwPJMrqKW
HappyKids | source=samsung | res=480 | https://jmp2.uk/stvp-USBC44000072I
Alkarma TV Middle East (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://58cc65c534c67.streamlock.net/alkarmatv.com/alkarmame1.smil/playlist.m3u8
Almagd TV Middle East (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://597f64b67707a.streamlock.net/almagd.tv/almagd.smil/playlist.m3u8
KidsFlix (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=50
Placid (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://toy.vcdn.fyi/placid/index.m3u8
Telemax (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://edge.essastream.com/telemax/tracks-v1a1/mono.m3u8
Televida (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://cnn.hostlagarto.com/televida/playlist.m3u8
TV Aparecida (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://cdn.jmvstream.com/w/LVW-9716/LVW9716_HbtQtezcaw/playlist.m3u8
TV Cidade de Petrópolis (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://video01.kshost.com.br:4443/inside2133/inside2133/playlist.m3u8
TV Gideoes (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://streaming01.zas.media/gideoes/programacao/playlist.m3u8
Tweede Kamer: Max van der Stoelzaal (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://livestreaming.b67buv2.tweedekamer.nl/live/maxvanderstoelzaal/index.m3u8?hd=1&keyframes=1&subtitles=live
Universidad Autónoma Temuco (UATV) (1080p) [Not 24/7] | source=iptv_org | res=1080 | https://unlimited1-us.dps.live/uatv/uatv.smil/playlist.m3u8
